Age,Gender,Region,Location,Education_Level,Employment_Status,Years_Of_Experience,Monthly_Income_NGN
24,Male,North East,Urban,Primary,Employed,6.0,67393.53
24,Male,,Rural,Primary,Employed,6.0,86606.36
33,Female,South East,Rural,Secondary,Unemployed,14.0,0.0
31,Female,North West,Urban,Tertiary,Employed,11.0,43204.66
35,Female,North Central,Rural,None,Underemployed,,25721.17
28,Male,North West,Rural,Primary,Underemployed,,28184.9
23,Female,South South,Urban,Tertiary,Employed,2.0,91751.06
60,Male,North Central,Urban,None,Underemployed,44.0,20635.63
15,Male,South East,Urban,Secondary,Employed,0.0,112058.45
59,Female,North East,Urban,Secondary,Underemployed,42.0,55344.3
27,Female,North West,Rural,Primary,Unemployed,12.0,0.0
18,Male,North West,Urban,,Employed,2.0,87930.38
15,Male,North East,Urban,Tertiary,Employed,0.0,163151.37
63,Female,North West,Urban,,Employed,,124926.46
54,Male,South West,Urban,Secondary,Underemployed,38.0,50703.29
46,Male,North West,Urban,Secondary,Employed,28.0,96527.49
48,Male,North Central,Urban,,Employed,30.0,71998.33
42,Male,North East,Rural,None,Employed,24.0,150893.56
45,Male,South West,Rural,Secondary,Underemployed,29.0,59454.59
22,Male,South West,Urban,Primary,Underemployed,3.0,39051.58
53,Female,South West,Urban,Primary,Employed,34.0,97491.11
40,Male,South South,Urban,,Employed,20.0,142618.86
48,Female,North West,Urban,Secondary,Underemployed,30.0,57359.9
17,Female,North Central,Rural,Tertiary,Employed,0.0,67439.02
64,Female,North Central,Rural,,Underemployed,49.0,19968.21
26,Male,North Central,Rural,Tertiary,Employed,2.0,114100.13
15,Male,South West,Urban,Secondary,Employed,0.0,103635.61
58,Female,North Central,Rural,Tertiary,Unemployed,35.0,0.0
19,Female,North Central,Urban,Tertiary,Unemployed,0.0,0.0
44,Male,North Central,Rural,Tertiary,Underemployed,21.0,58887.3
44,Female,South South,Rural,Tertiary,Unemployed,,0.0
31,Male,South South,Rural,None,Underemployed,15.0,32995.26
62,Male,North East,Urban,Secondary,Underemployed,45.0,51221.71
61,Male,North West,Urban,Primary,Underemployed,44.0,42535.78
37,Male,South East,Rural,Secondary,Unemployed,,0.0
29,Male,South South,Urban,Tertiary,Employed,5.0,261319.16
51,Female,North East,Urban,None,Employed,36.0,62114.49
35,Female,North East,Rural,Secondary,Employed,16.0,125302.99
28,Male,South South,Urban,Secondary,Underemployed,11.0,52182.89
16,Male,South West,Rural,Primary,Unemployed,0.0,0.0
25,Male,North East,Urban,Primary,Employed,7.0,99574.06
53,Male,South West,Rural,None,Underemployed,,20236.58
52,Female,South South,Urban,None,Employed,33.0,72484.08
48,Female,South East,Rural,Secondary,Unemployed,29.0,0.0
52,Female,South West,Urban,Secondary,Underemployed,36.0,53606.08
64,Female,South West,Rural,,Underemployed,46.0,21491.85
48,Female,North West,Rural,Tertiary,Employed,24.0,157167.24
32,Male,South East,Urban,Secondary,Unemployed,17.0,0.0
44,Male,North East,Urban,Secondary,Underemployed,25.0,46310.75
29,Male,South South,Urban,Primary,Underemployed,10.0,31274.92
41,Female,North East,Urban,Secondary,Employed,24.0,85681.18
48,Male,South South,Urban,Primary,Employed,33.0,104724.08
52,Male,,Urban,Secondary,Underemployed,37.0,36785.71
47,Female,North Central,Rural,Secondary,Employed,31.0,125785.04
38,Female,North West,Rural,None,Underemployed,21.0,42054.57
29,Female,South West,Urban,Tertiary,Unemployed,9.0,0.0
44,Male,South East,Rural,Secondary,Unemployed,,0.0
56,Male,South West,Urban,Primary,Underemployed,,32348.85
31,Male,North Central,Urban,Tertiary,Employed,8.0,164484.17
19,Male,North West,Urban,Secondary,Employed,4.0,149419.43
43,Male,South South,Rural,Secondary,Underemployed,25.0,28946.62
18,Male,South West,Urban,Secondary,Employed,0.0,
24,Female,South West,Rural,Primary,Underemployed,5.0,20499.69
31,Male,South East,Urban,Tertiary,Underemployed,8.0,101111.86
24,Female,South West,Rural,Secondary,Underemployed,5.0,61203.65
31,Female,North Central,Rural,Primary,Underemployed,,21880.5
34,Male,South West,Urban,Tertiary,Underemployed,13.0,104213.27
38,Female,South West,Rural,Secondary,Employed,,137921.26
19,Male,,Rural,Secondary,Unemployed,3.0,0.0
48,Male,South East,Urban,Tertiary,Employed,28.0,
20,Female,North West,Urban,Primary,Unemployed,4.0,0.0
16,Male,North East,Urban,Primary,Employed,0.0,105801.36
27,Female,North West,Rural,None,Underemployed,8.0,29023.11
57,Male,North West,Rural,,Unemployed,34.0,0.0
57,Female,South West,Urban,Primary,Underemployed,42.0,25367.14
62,Male,South South,Urban,Primary,Employed,43.0,47699.34
25,Male,North West,Urban,Primary,Unemployed,10.0,0.0
61,Male,North Central,Urban,,Underemployed,,27135.95
37,Female,,Rural,Secondary,Underemployed,19.0,45861.52
30,Female,South East,Rural,Tertiary,Unemployed,6.0,0.0
45,Female,North Central,Urban,Primary,Underemployed,29.0,32358.52
25,Male,South East,Urban,Secondary,Unemployed,8.0,0.0
30,Female,North Central,Urban,Secondary,Unemployed,14.0,0.0
22,Female,North West,Rural,Secondary,Employed,7.0,68768.29
18,Female,North West,Urban,Tertiary,Employed,0.0,139244.45
54,Male,North West,Urban,Secondary,Underemployed,35.0,58643.77
18,Female,North East,Rural,Primary,Unemployed,2.0,0.0
39,Female,South South,Urban,Tertiary,Unemployed,18.0,0.0
17,Male,South East,Urban,Secondary,Employed,2.0,144318.35
46,Female,North Central,Rural,Primary,Employed,31.0,44205.54
17,Female,North Central,Urban,Primary,Underemployed,0.0,
41,Male,North East,Urban,Tertiary,Employed,18.0,138904.17
43,Male,South West,Urban,Secondary,Underemployed,28.0,47224.84
46,Male,South East,Urban,Secondary,Employed,28.0,34877.45
64,Female,North West,Urban,Tertiary,Unemployed,43.0,0.0
33,Female,North West,Rural,,Employed,18.0,
35,Male,South West,Urban,Primary,Employed,,105303.97
19,Female,South West,Rural,Secondary,Employed,,64867.42
32,Female,North Central,Urban,Secondary,Underemployed,13.0,
42,Male,South West,Urban,Secondary,Employed,23.0,
56,Female,South West,Urban,None,Underemployed,41.0,41002.9
36,Female,North East,Urban,None,Employed,19.0,90709.34
35,Female,North East,Urban,,Employed,20.0,120431.86
20,Female,North Central,Urban,Tertiary,Unemployed,0.0,0.0
15,Female,South South,Urban,Secondary,Unemployed,0.0,0.0
19,Female,South South,Urban,Tertiary,Unemployed,0.0,0.0
55,Male,South South,Rural,,Employed,,96858.92
26,Female,South West,Urban,Tertiary,Employed,3.0,
40,Female,South West,Urban,Primary,Underemployed,24.0,
60,Female,South West,Urban,Primary,Underemployed,,21963.09
48,Male,South South,Urban,Secondary,Employed,33.0,117559.29
63,Female,North West,Rural,Primary,Underemployed,45.0,18967.23
28,Male,North Central,Urban,Secondary,Employed,9.0,177676.72
40,Female,South West,Urban,Tertiary,Unemployed,20.0,0.0
59,Male,South West,Urban,,Employed,40.0,189381.6
41,Male,North East,Rural,Tertiary,Employed,18.0,129588.45
23,Male,South West,Urban,Secondary,Employed,6.0,70082.58
40,Male,South East,Urban,Secondary,Employed,,132117.31
61,Female,North Central,Urban,Secondary,Underemployed,42.0,42768.46
36,Female,South East,Urban,Primary,Underemployed,17.0,40572.13
61,Female,North East,Urban,Primary,Underemployed,43.0,22915.68
44,Male,,Rural,Secondary,Employed,26.0,139602.48
57,Male,North Central,Rural,Tertiary,Underemployed,34.0,82735.85
62,Female,South West,Rural,Secondary,Unemployed,45.0,0.0
31,Female,North West,Urban,,Underemployed,15.0,23913.65
40,Male,North West,Urban,None,Employed,,107201.49
50,Male,South West,Urban,Tertiary,Employed,28.0,189533.97
15,Male,North Central,Rural,Secondary,Underemployed,0.0,51302.73
22,Female,North Central,Urban,Tertiary,Employed,0.0,154377.81
63,Female,North West,Rural,Secondary,Underemployed,48.0,36908.25
49,Male,South East,Urban,,Employed,33.0,161191.37
29,Male,South East,Rural,Secondary,Unemployed,10.0,0.0
61,Female,North West,Urban,Primary,Underemployed,43.0,39400.92
36,Male,South West,Urban,Secondary,Underemployed,20.0,43841.61
28,Male,South East,Urban,Secondary,Underemployed,9.0,48135.67
40,Female,South West,Rural,Secondary,Employed,25.0,170911.94
42,Male,North East,Urban,Tertiary,Employed,18.0,98989.31
37,Male,South West,Rural,Primary,Employed,18.0,118128.65
28,Female,North West,Rural,Secondary,Unemployed,9.0,0.0
38,Female,North East,Rural,None,Underemployed,22.0,24972.48
16,Female,,Rural,None,Unemployed,0.0,0.0
59,Female,South West,Rural,Secondary,Unemployed,41.0,0.0
40,Female,North West,Rural,None,Underemployed,,46002.7
28,Female,South South,Urban,Secondary,Employed,10.0,122284.08
21,Male,North East,Rural,Primary,Underemployed,6.0,41343.41
17,Female,North West,Rural,Primary,Underemployed,1.0,23148.05
61,Female,North Central,Urban,None,Employed,44.0,62544.14
37,Male,North East,Rural,Primary,Employed,21.0,92972.22
60,Male,North Central,Urban,Tertiary,Employed,39.0,161820.76
57,Male,North East,Urban,Secondary,Underemployed,38.0,42339.02
61,Male,North West,Urban,Tertiary,Employed,38.0,184123.83
59,Male,North East,Urban,None,Underemployed,,28110.42
32,Female,North Central,Rural,Secondary,Unemployed,13.0,0.0
52,Female,North West,Rural,Secondary,Underemployed,35.0,18778.44
49,Male,South East,Rural,Primary,Underemployed,31.0,34975.31
29,Male,South West,Rural,Secondary,Underemployed,10.0,36761.94
39,Male,South West,Urban,Secondary,Employed,22.0,106982.49
51,Female,North Central,Urban,,Employed,32.0,
42,Male,South West,Urban,Secondary,Employed,26.0,183821.22
24,Male,South South,Rural,Secondary,Unemployed,9.0,0.0
53,Male,North West,Urban,Primary,Underemployed,36.0,24820.56
31,Male,North West,Rural,,Underemployed,13.0,58666.8
53,Male,North West,Rural,Tertiary,Unemployed,31.0,0.0
36,Female,North West,Rural,Primary,Employed,21.0,83431.77
40,Female,North West,Urban,Secondary,Underemployed,23.0,45696.91
58,Female,,Urban,Secondary,Employed,41.0,98192.09
39,Male,North Central,Rural,,Employed,22.0,57923.63
31,Female,South South,Rural,Secondary,Underemployed,13.0,51425.83
27,Female,North West,Urban,None,Underemployed,12.0,32593.49
34,Male,North East,Rural,Secondary,Employed,19.0,95843.94
39,Female,South South,Rural,Secondary,Underemployed,,66316.88
18,Male,South East,Urban,Secondary,Underemployed,1.0,43458.8
24,Female,North Central,Urban,Secondary,Employed,7.0,97060.37
17,Male,South West,Urban,Secondary,Employed,2.0,138954.11
55,Female,South East,Urban,Tertiary,Unemployed,33.0,0.0
59,Male,North Central,Rural,Secondary,Underemployed,43.0,26859.77
32,Female,North West,Urban,Secondary,Employed,15.0,
61,Female,South East,Rural,Primary,Employed,44.0,87934.93
50,Female,North Central,Rural,None,Underemployed,31.0,38903.57
61,Male,North West,Urban,Tertiary,Unemployed,41.0,0.0
36,Male,North Central,Rural,Secondary,Unemployed,21.0,0.0
48,Female,North Central,Urban,Secondary,Employed,32.0,
61,Male,South South,Urban,Secondary,Underemployed,45.0,59602.3
22,Male,,Rural,None,Underemployed,6.0,22692.24
54,Female,South South,Rural,Tertiary,Underemployed,34.0,49980.04
63,Female,North Central,Urban,Secondary,Underemployed,44.0,28488.91
58,Male,North Central,Urban,Secondary,Underemployed,,66543.66
33,Male,North West,Urban,None,Underemployed,,28786.8
56,Male,South West,Urban,Secondary,Underemployed,41.0,41011.67
55,Female,,Urban,None,Underemployed,37.0,28811.26
51,Female,North East,Rural,Secondary,Underemployed,,66209.32
20,Female,North West,Urban,,Underemployed,4.0,61681.1
40,Female,South West,Rural,None,Underemployed,22.0,33946.56
48,Male,South East,Urban,Secondary,Employed,30.0,
59,Male,North West,Rural,Secondary,Employed,44.0,126486.2
20,Male,South West,Rural,Tertiary,Employed,,163595.09
51,Male,South West,Urban,Secondary,Employed,35.0,127956.91
47,Female,North East,Urban,Primary,Employed,28.0,
36,Female,North Central,Rural,Primary,Underemployed,,36780.36
35,Male,North West,Rural,Tertiary,Employed,11.0,
20,Male,,Rural,Secondary,Employed,2.0,88294.26
20,Female,,Rural,Secondary,Unemployed,5.0,0.0
62,Female,North Central,Urban,None,Employed,47.0,115866.23
18,Male,North East,Rural,Primary,Underemployed,1.0,32225.22
44,Female,North East,Rural,Tertiary,Employed,21.0,177513.61
25,Female,South East,Rural,Secondary,Employed,7.0,116248.55
44,Male,North Central,Rural,,Underemployed,,37305.66
45,Female,North Central,Rural,Secondary,Unemployed,29.0,0.0
38,Male,North Central,Rural,Primary,Underemployed,,29447.32
23,Female,North Central,Rural,Tertiary,Employed,1.0,182574.59
17,Female,North East,Rural,Secondary,Employed,2.0,103567.03
45,Female,North West,Urban,Secondary,Unemployed,,0.0
54,Female,North West,Rural,Secondary,Employed,,106058.85
51,Male,South East,Rural,,Employed,29.0,
50,Female,North West,Urban,Tertiary,Employed,29.0,135070.2
38,Female,North West,Urban,None,Underemployed,21.0,49852.04
45,Female,South East,Rural,Tertiary,Unemployed,21.0,0.0
20,Female,North West,Rural,Tertiary,Employed,0.0,175490.02
16,Female,South West,Urban,Primary,Employed,0.0,100747.7
34,Female,North East,Rural,Tertiary,Underemployed,13.0,99677.62
42,Male,North West,Rural,Secondary,Employed,27.0,
25,Female,North Central,Urban,Secondary,Unemployed,9.0,0.0
18,Female,North West,Urban,Primary,Underemployed,0.0,38307.13
29,Female,South East,Rural,Secondary,Underemployed,13.0,63428.53
20,Female,North Central,Rural,None,Employed,2.0,137606.02
63,Male,North West,Urban,Tertiary,Underemployed,41.0,69420.57
44,Male,North West,Urban,Tertiary,Employed,20.0,94977.0
52,Female,North Central,Urban,Secondary,Employed,37.0,98034.43
16,Female,North West,Rural,Secondary,Employed,0.0,109861.3
29,Male,North East,Urban,Secondary,Employed,11.0,
25,Female,North Central,Urban,Primary,Employed,9.0,165850.36
22,Male,South East,Urban,Secondary,Underemployed,6.0,55169.93
40,Female,North Central,Rural,Secondary,Employed,21.0,120338.06
59,Male,South West,Urban,,Underemployed,43.0,26850.83
58,Male,South South,Rural,None,Underemployed,42.0,37422.21
19,Male,North West,Rural,Secondary,Employed,1.0,198788.93
20,Male,South East,Urban,Secondary,Employed,5.0,
40,Male,South East,Urban,Tertiary,Unemployed,,0.0
18,Male,North East,Rural,Primary,Underemployed,0.0,40241.79
33,Male,South South,Urban,,Underemployed,18.0,40109.72
34,Female,North East,Rural,Secondary,Underemployed,17.0,62484.65
47,Female,North East,Urban,Secondary,Unemployed,32.0,0.0
34,Male,South East,Urban,Secondary,Employed,15.0,
63,Female,North Central,Rural,Secondary,Underemployed,45.0,38951.78
26,Male,North East,Rural,Secondary,Underemployed,8.0,49687.79
61,Female,North West,Rural,Secondary,Employed,43.0,135204.23
15,Female,South East,Urban,None,Employed,0.0,56390.98
40,Male,South East,Urban,Primary,Underemployed,21.0,28623.44
28,Male,South West,Rural,Primary,Underemployed,12.0,22566.61
52,Male,South South,Urban,None,Underemployed,36.0,39124.57
51,Male,North East,Urban,,Underemployed,33.0,25052.62
25,Female,,Urban,Primary,Underemployed,10.0,32953.98
50,Male,South West,Urban,Tertiary,Employed,29.0,118499.09
27,Male,South East,Rural,Primary,Underemployed,12.0,44379.29
57,Male,North West,Rural,Primary,Employed,38.0,48977.29
17,Male,North West,Rural,Tertiary,Employed,0.0,171412.82
47,Female,South East,Rural,Secondary,Underemployed,30.0,30841.13
20,Male,South South,Urban,Secondary,Unemployed,2.0,0.0
64,Female,South West,Rural,Secondary,Underemployed,47.0,42360.01
24,Male,North East,Rural,Secondary,Unemployed,8.0,
19,Male,South South,Urban,Primary,Underemployed,2.0,31855.68
37,Female,South South,Urban,Primary,Underemployed,22.0,32298.21
24,Male,North Central,Rural,Tertiary,Employed,2.0,160317.01
58,Female,South East,Urban,,Underemployed,42.0,31365.74
16,Female,South East,Urban,Primary,Employed,0.0,80744.67
27,Male,South South,Rural,Secondary,Unemployed,9.0,0.0
54,Male,South East,Rural,Primary,Underemployed,38.0,28523.52
16,Male,South West,Rural,Secondary,Employed,1.0,121138.82
34,Male,South West,Urban,Tertiary,Employed,12.0,158791.22
15,Male,North Central,Rural,Tertiary,Unemployed,0.0,0.0
51,Male,South West,Rural,Secondary,Employed,35.0,117635.5
23,Male,South East,Rural,Primary,Underemployed,6.0,36566.31
31,Female,South South,Urban,Tertiary,Unemployed,8.0,0.0
23,Female,North Central,Urban,Primary,Unemployed,4.0,0.0
25,Female,South West,Urban,,Underemployed,7.0,30840.48
29,Male,,Urban,Secondary,Underemployed,14.0,53019.89
38,Male,South West,Urban,Secondary,Employed,,106224.52
52,Female,South West,Urban,None,Underemployed,35.0,20528.02
49,Female,North West,Rural,Secondary,Employed,30.0,125545.04
44,Female,North Central,Rural,Tertiary,Unemployed,21.0,0.0
45,Male,North West,Rural,Primary,Underemployed,27.0,40867.01
63,Female,North West,Urban,Secondary,Employed,48.0,135979.0
19,Female,South East,Urban,Primary,Employed,2.0,75475.18
58,Male,North East,Urban,Secondary,Unemployed,40.0,0.0
64,Male,North East,Urban,,Employed,47.0,
28,Male,North West,Urban,Secondary,Employed,12.0,107935.79
25,Male,North West,Urban,Primary,Underemployed,10.0,36431.89
23,Male,South East,Rural,Tertiary,Employed,,133404.19
48,Female,North Central,Rural,Tertiary,Unemployed,28.0,0.0
26,Female,South South,Rural,Tertiary,Employed,4.0,
49,Male,North East,Rural,Primary,Underemployed,31.0,25333.52
49,Male,North East,Rural,None,Employed,31.0,85208.43
15,Male,North East,Rural,Secondary,Employed,0.0,63614.45
54,Female,South West,Rural,Secondary,Underemployed,37.0,57681.12
36,Male,South West,Urban,Tertiary,Underemployed,15.0,88884.07
43,Female,South South,Rural,Secondary,Underemployed,24.0,56396.64
22,Male,South West,Urban,Secondary,Employed,3.0,129911.9
25,Male,North Central,Rural,None,Underemployed,10.0,23139.75
55,Female,South East,Rural,Tertiary,Unemployed,32.0,0.0
51,Female,South South,Rural,Primary,Underemployed,36.0,38693.09
28,Male,North East,Urban,None,Underemployed,10.0,38935.01
44,Male,North West,Urban,Tertiary,Unemployed,21.0,0.0
49,Female,South West,Rural,,Underemployed,33.0,38176.44
35,Male,North Central,Rural,None,Underemployed,18.0,34789.12
51,Female,South South,Urban,Primary,Underemployed,34.0,37874.92
19,Male,North Central,Rural,None,Employed,2.0,85897.05
33,Female,North West,Rural,Secondary,Employed,14.0,109342.72
28,Female,South South,Urban,Primary,Employed,11.0,116023.4
40,Male,South East,Rural,Tertiary,Underemployed,,43752.09
18,Female,North West,Urban,Primary,Employed,3.0,67344.48
39,Male,,Rural,Secondary,Employed,20.0,84368.1
59,Male,,Rural,None,Unemployed,41.0,0.0
56,Female,North East,Rural,,Underemployed,40.0,13833.15
39,Male,South South,Rural,Secondary,Underemployed,23.0,66274.1
32,Female,North Central,Urban,Secondary,Underemployed,,
54,Male,North West,Rural,Primary,Employed,39.0,110293.32
22,Male,North East,Rural,Secondary,Underemployed,6.0,62175.25
53,Male,South West,Rural,Tertiary,Employed,30.0,136788.18
54,Male,North West,Urban,Primary,Underemployed,38.0,
28,Male,South West,Urban,None,Employed,9.0,106985.27
46,Female,South West,Urban,Secondary,Underemployed,30.0,50027.5
52,Female,North East,Rural,Secondary,Employed,33.0,156126.18
47,Female,,Urban,None,Underemployed,28.0,6343.31
37,Male,South South,Rural,Primary,Employed,21.0,72438.78
29,Male,North Central,Rural,Secondary,Employed,13.0,140216.77
47,Male,North East,Rural,Tertiary,Underemployed,23.0,81210.74
39,Male,North East,Rural,Secondary,Employed,23.0,147073.23
31,Male,South West,Rural,Primary,Underemployed,16.0,
47,Male,South South,Rural,,Underemployed,30.0,47978.94
61,Male,,Urban,Primary,Underemployed,44.0,27279.4
16,Female,North East,Rural,Primary,Unemployed,0.0,0.0
28,Male,North Central,Rural,Secondary,Underemployed,11.0,84875.83
54,Male,South West,Rural,Tertiary,Underemployed,34.0,116838.71
54,Male,North West,Rural,Tertiary,Employed,32.0,172297.73
53,Male,South East,Urban,Primary,Employed,36.0,102353.92
20,Female,North East,Urban,Secondary,Employed,5.0,139372.77
20,Male,South West,Rural,Primary,Employed,1.0,124805.04
17,Male,,Urban,Primary,Underemployed,0.0,33769.44
21,Male,South West,Rural,Tertiary,Underemployed,0.0,61966.88
22,Male,North West,Urban,Tertiary,Unemployed,0.0,0.0
56,Male,South West,Urban,Primary,Underemployed,39.0,46060.6
29,Female,North West,Urban,None,Underemployed,14.0,32215.87
61,Female,North West,Rural,Primary,Unemployed,46.0,0.0
43,Female,North Central,Rural,Secondary,Underemployed,25.0,80208.95
47,Male,South West,Urban,Tertiary,Unemployed,26.0,0.0
44,Female,North West,Rural,None,Underemployed,29.0,31684.33
53,Female,North West,Urban,Secondary,Employed,37.0,111156.48
41,Male,South East,Urban,Primary,Underemployed,23.0,42457.26
50,Female,South East,Rural,None,Unemployed,33.0,0.0
43,Male,North West,Rural,Secondary,Employed,26.0,130842.73
52,Male,South West,Urban,Tertiary,Unemployed,31.0,0.0
47,Female,North Central,Rural,Primary,Employed,29.0,104002.68
51,Male,South West,Rural,Primary,Underemployed,33.0,19196.72
41,Female,South South,Urban,None,Employed,26.0,
47,Male,North West,Urban,Secondary,Unemployed,31.0,0.0
18,Female,South East,Rural,Primary,Underemployed,3.0,25560.21
36,Female,North Central,Urban,Secondary,Unemployed,20.0,0.0
16,Female,South West,Urban,Primary,Underemployed,1.0,25969.88
24,Male,,Rural,Primary,Underemployed,9.0,25585.06
19,Male,South South,Urban,Secondary,Underemployed,1.0,56585.51
24,Male,North West,Urban,Primary,Unemployed,6.0,0.0
47,Male,,Urban,Secondary,Employed,30.0,64726.45
52,Male,North West,Rural,,Unemployed,,0.0
27,Female,South South,Rural,Tertiary,Unemployed,4.0,0.0
45,Female,South West,Urban,None,Underemployed,27.0,28102.39
61,Female,South West,Urban,Secondary,Employed,46.0,155290.04
50,Male,North West,Rural,None,Employed,33.0,62629.93
59,Male,South South,Rural,Tertiary,Employed,36.0,157779.55
38,Male,South East,Rural,Secondary,Underemployed,22.0,40529.01
29,Female,South West,Urban,Primary,Employed,13.0,87889.21
43,Female,North East,Rural,,Unemployed,26.0,0.0
22,Female,North West,Rural,Tertiary,Employed,1.0,
19,Female,South West,Rural,Tertiary,Unemployed,0.0,0.0
43,Female,South West,Rural,Tertiary,Underemployed,21.0,40388.26
61,Male,North West,Urban,Tertiary,Unemployed,38.0,0.0
18,Male,South West,Rural,Tertiary,Employed,0.0,
26,Female,North East,Urban,Secondary,Employed,11.0,102794.58
59,Male,South East,Urban,,Underemployed,41.0,25251.02
16,Male,North Central,Rural,None,Underemployed,0.0,19995.94
41,Female,North West,Rural,Secondary,Unemployed,26.0,0.0
45,Female,North Central,Urban,Secondary,Underemployed,29.0,61308.49
50,Female,North East,Rural,Secondary,Underemployed,35.0,47128.93
50,Female,North West,Urban,Primary,Employed,31.0,90469.92
40,Female,South East,Rural,Secondary,Employed,21.0,123954.13
57,Male,North West,Rural,,Unemployed,42.0,0.0
41,Male,North East,Urban,Secondary,Unemployed,23.0,0.0
19,Female,North West,Urban,Secondary,Unemployed,1.0,0.0
34,Female,North West,Urban,Primary,Underemployed,15.0,28467.42
25,Male,North East,Urban,Tertiary,Employed,3.0,59969.05
24,Female,North West,Urban,Secondary,Underemployed,7.0,42637.64
54,Male,South West,Rural,Tertiary,Unemployed,31.0,0.0
52,Male,North West,Urban,Primary,Underemployed,35.0,38058.97
20,Female,South West,Rural,Primary,Underemployed,2.0,16440.45
22,Male,North West,Urban,None,Underemployed,6.0,20190.56
37,Male,North West,Rural,None,Employed,19.0,87196.26
61,Male,North East,Urban,,Underemployed,45.0,23469.39
40,Female,,Urban,None,Employed,21.0,99163.44
60,Male,South West,Rural,Tertiary,Unemployed,38.0,
57,Female,South East,Urban,,Employed,33.0,100811.55
26,Female,North West,Rural,Tertiary,Employed,6.0,132546.55
40,Male,South East,Rural,Tertiary,Employed,20.0,
27,Female,North West,Rural,Secondary,Employed,8.0,143361.85
54,Male,North West,Urban,Secondary,Employed,36.0,
32,Female,South West,Urban,None,Underemployed,14.0,27646.08
39,Female,North East,Urban,None,Unemployed,22.0,0.0
47,Female,South South,Rural,Secondary,Underemployed,28.0,78320.9
61,Male,North West,Urban,Tertiary,Employed,41.0,141724.29
54,Male,South South,Urban,Secondary,Unemployed,35.0,0.0
57,Male,South West,Urban,Tertiary,Employed,33.0,187299.38
26,Male,South West,Urban,Primary,Employed,,157945.23
58,Female,North West,Urban,Secondary,Employed,40.0,125015.1
50,Male,North East,Urban,Secondary,Unemployed,35.0,0.0
62,Female,South South,Urban,,Employed,40.0,88191.3
18,Male,North East,Urban,Tertiary,Underemployed,0.0,82181.69
19,Male,South West,Urban,Secondary,Unemployed,4.0,0.0
51,Female,South South,Rural,None,Underemployed,33.0,24495.21
22,Male,North East,Urban,Primary,Underemployed,4.0,27530.11
56,Female,South West,Urban,Primary,Underemployed,39.0,47864.79
63,Female,South West,Urban,Tertiary,Underemployed,42.0,50653.68
42,Female,North West,Urban,Primary,Employed,25.0,109014.0
45,Male,North West,Urban,Primary,Underemployed,28.0,22100.51
23,Female,North Central,Rural,Primary,Employed,7.0,90770.26
43,Female,North East,Rural,,Employed,23.0,
28,Female,South West,Urban,Secondary,Underemployed,9.0,54772.46
54,Male,North West,Rural,,Underemployed,38.0,46624.52
55,Female,South South,Urban,Primary,Underemployed,36.0,24151.8
36,Female,North West,Urban,Primary,Employed,21.0,
25,Female,,Rural,Primary,Unemployed,9.0,0.0
37,Male,South West,Rural,Tertiary,Unemployed,14.0,0.0
15,Male,North West,Rural,Tertiary,Unemployed,0.0,0.0
60,Female,North West,Urban,Secondary,Employed,44.0,
51,Male,,Urban,Primary,Underemployed,35.0,21887.83
35,Female,South South,Urban,Tertiary,Unemployed,15.0,0.0
40,Male,North East,Rural,Secondary,Underemployed,22.0,78674.96
60,Female,North Central,Urban,None,Underemployed,44.0,40795.48
50,Male,North East,Rural,Primary,Underemployed,32.0,42324.18
37,Male,North West,Rural,,Unemployed,18.0,0.0
15,Female,South West,Urban,Secondary,Underemployed,0.0,54626.49
54,Female,South East,Rural,Tertiary,Unemployed,31.0,0.0
29,Female,North East,Rural,Tertiary,Employed,7.0,202700.84
35,Male,South South,Urban,None,Underemployed,20.0,20920.52
61,Female,North West,Rural,Secondary,Employed,,95950.42
23,Female,South West,Urban,Primary,Underemployed,8.0,36892.32
23,Female,North Central,Urban,Secondary,Underemployed,7.0,54437.68
24,Male,North Central,Rural,Secondary,Underemployed,8.0,47774.31
40,Female,North Central,Rural,Secondary,Employed,21.0,29906.08
55,Female,North East,Rural,Tertiary,Unemployed,35.0,0.0
49,Female,South West,Rural,Secondary,Underemployed,32.0,43467.89
39,Male,South West,Rural,Tertiary,Unemployed,,0.0
40,Female,North East,Rural,Primary,Employed,22.0,64778.39
25,Female,South East,Urban,Primary,Employed,8.0,114806.03
52,Male,North East,Rural,,Unemployed,37.0,0.0
16,Male,South West,Rural,Tertiary,Employed,0.0,141397.42
21,Male,North West,Urban,Primary,Underemployed,6.0,24345.3
32,Male,North West,Rural,None,Unemployed,17.0,0.0
41,Male,North East,Urban,Secondary,Underemployed,25.0,89643.66
48,Female,South West,Rural,Secondary,Unemployed,33.0,0.0
41,Female,South West,Urban,Tertiary,Employed,19.0,196717.85
31,Female,North East,Rural,Secondary,Employed,13.0,
57,Female,North West,Urban,Tertiary,Unemployed,34.0,0.0
58,Male,North East,Urban,,Unemployed,43.0,0.0
38,Male,South West,Rural,Primary,Underemployed,22.0,49819.94
39,Female,South West,Rural,,Underemployed,20.0,62032.88
21,Male,North West,Urban,Secondary,Employed,6.0,92245.66
20,Male,North West,Urban,Tertiary,Underemployed,0.0,58690.49
38,Male,South East,Rural,None,Underemployed,19.0,
47,Male,North West,Rural,,Employed,29.0,38219.37
63,Female,North West,Rural,Primary,Underemployed,45.0,29299.98
